date,sales,marketing_spend
2021-01-01,10187.164020486161,4658.924459826014
2021-02-01,13015.640753607717,1045.9226389975113
2021-03-01,15955.684266369743,2800.466105899244
2021-04-01,17350.725626451727,4908.4169322062935
2021-05-01,16440.471911017976,1412.4854496323032
2021-06-01,13367.636214347684,3191.138777533278
2021-07-01,10932.261849178274,4915.830028164417
2021-08-01,9502.761835883939,3221.9816964234406
2021-09-01,8381.706793196756,1759.261211888624
2021-10-01,7388.23722571145,3328.732920370359
2021-11-01,7181.531001968442,1817.7622957981873
2021-12-01,11324.916651433941,3078.817051577937
2022-01-01,13036.256659837523,1296.168871649392
2022-02-01,15791.77297986367,3421.9306768576184
2022-03-01,18275.514344864103,3067.1597565126326
2022-04-01,19045.815368634125,3960.6454750458524
2022-05-01,18535.054534838666,3522.80188463514
2022-06-01,16077.017550209666,3198.4250741230267
2022-07-01,15030.609675905484,3759.1153969924844
2022-08-01,13631.525220478297,1575.7676542889235
2022-09-01,11648.80270048481,3381.4386450344164
2022-10-01,11948.121439100645,1688.4424112911106
2022-11-01,11227.042244472086,4702.088831407524
2022-12-01,12793.370092310768,1273.3364193824168
2023-01-01,16611.29287816486,2721.498998763173
2023-02-01,19028.620524308448,3783.1899106217793
2023-03-01,21248.363464285874,2832.088846673035
2023-04-01,22926.03543236684,1368.3810129316093
2023-05-01,21827.046479817538,3213.5160645068295
2023-06-01,19535.64579650789,3566.527635309418
2023-07-01,18012.433843546576,3815.1692439620306
2023-08-01,16697.202224003657,2493.0392578510355
2023-09-01,15484.21072494187,3254.639884115049
2023-10-01,15089.994212654774,2802.7458997556523
2023-11-01,15808.631789611429,3688.2241550090134
2023-12-01,17331.90653403475,3334.227869299274
