feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,category_A,category_B,target
-0.5016605026008459,-0.4901803360672571,-0.14263699803058405,0.5504235978892296,-0.17891899578689366,-0.4485052432738398,1.5365025209325938,0.336844502801956,-0.4516392895515635,-5.78225981470629,0.46853701056017627,0.5574302874712542,4.697001438845846,1.5682178868677268,0.8644343617060125,Type2,High,0
-6.304227325407645,2.757442057570651,-0.7997111926824976,-3.3841047888054403,0.21917021369043294,1.0124795889325062,2.1486890513266967,0.47024993918574975,-0.01606802134659102,1.576532134364777,-1.8940890528220211,-1.0620366662754863,1.4414913396710052,-3.375429548745374,4.656487515670572,Type2,Low,2
-3.4851268357015157,2.5949248906015323,-2.3871759219814956,0.16532301925346404,-0.05949496648047176,0.9060524775838708,-0.382065539978796,3.422238060171373,-3.8152301065645893,-0.9876309267968814,-4.609319091225792,0.7804667886468013,-2.3994105847482166,-1.713197697364496,1.9723565975906718,Type4,High,0
-1.3327674094554158,-1.5693963742642905,-1.1998035407970915,0.09863185536918806,0.2563449776515816,1.612360842841363,-0.32489248384264924,1.685277959233281,-2.6298644182323136,-1.0466515567481072,-1.0875189939140062,-0.6951676553164858,0.6715173112650268,-0.1976890561808431,3.511252939196546,Type1,High,0
5.672674414327074,-2.279754474677456,-0.18120886589691731,2.4651035584234284,-0.8184576733140416,-0.43787340262635044,-2.009089511943616,1.001533988703662,0.28503421504848925,1.3310786921964253,1.9962389398860139,-0.9987259287436792,-0.7377592771940484,-0.660038862770014,-2.8607664297029953,Type4,High,1
3.5519052742649175,2.2456797909717143,-1.9817143913762068,1.421499417250464,-0.545546172593574,-2.2242331874015924,-2.0624838206002387,2.4756215139053612,-1.4815582190220988,-1.2263726373515795,-1.9123028242592977,1.3415654819809009,5.144551642433019,-3.7893154392689725,-2.4376283838222843,Type1,Low,1
-1.342822292679186,-0.7129541877150252,0.682192665234644,-0.9295897277698798,-0.49293315728106646,2.6464355266671755,1.3530777081441205,2.2889119271268914,-0.09836129080980194,-1.2401428983101868,0.3148171453140378,-0.018361817095647444,-2.0007904304291184,-0.00949291740141128,2.496069785157699,Type1,Medium,2
4.045479567578343,0.921323752031922,1.724261495414095,-1.7770061479500638,-0.8808023308628828,-1.5898866009585981,0.04870236129555627,-0.2613502381152124,-3.788522866426346,1.1416758726735505,-1.5402742144443509,0.7192658541312512,-0.3989600295281872,0.8269599120799417,-1.795710331479757,Type2,Medium,0
2.9566377975975935,1.934428263495974,-0.9845187429020085,0.3137213805760526,-0.7441139651061446,1.1450477034884903,-0.3379265452243305,-1.5059414579987949,-0.4865776252401226,0.019988099502264545,2.2871503712431327,0.6945501040036444,-3.4463987286174813,4.823103866617871,-3.960826680659532,Type4,Medium,0
-1.8970513409526029,-1.3318009057049975,-1.2345346664822796,4.7712033453088,-0.7948053454859894,-4.2278536734480445,0.3456570403425817,0.14493873993198247,-1.2451268278484857,-2.4891452614287037,-1.4525194228748648,-0.23332212603649682,1.9221354889268674,-2.8057718572613877,0.566499249029091,Type1,High,0
