date,price,volume
2022-01-01,102.48357076505616,4489866
2022-01-02,99.54963526081012,2366853
2022-01-03,103.72030500676375,2014929
2022-01-04,108.33781472896949,2566847
2022-01-05,99.79254811363546,3420564
2022-01-06,100.03307502669865,3582569
2022-01-07,109.34001293208783,2480035
2022-01-08,105.52100477338146,1188456
2022-01-09,99.5759838031659,3653093
2022-01-10,104.87527209662551,4303457
2022-01-11,100.08404043096093,3006032
2022-01-12,100.31062748023672,1228504
2022-01-13,104.08667491342372,2694693
2022-01-14,93.54743937836352,3749817
2022-01-15,94.72556818914262,3044491
2022-01-16,100.77432632119431,2574486
2022-01-17,98.75645521970033,1573044
2022-01-18,105.62588517500154,2089385
2022-01-19,99.74770750057964,2589589
2022-01-20,97.45858150704427,1716756
2022-01-21,112.07966012667477,1051226
2022-01-22,103.8528468282502,3596664
2022-01-23,105.54862912885527,4751198
2022-01-24,98.31540693371282,4621509
2022-01-25,102.94424657151824,4175130
2022-01-26,106.44659096836675,4149991
2022-01-27,100.36158673592692,4138145
2022-01-28,108.21833374558483,4897611
2022-01-29,103.55860569530972,2226476
2022-01-30,105.32390677608751,1572212
2022-01-31,103.99299457181576,3433478
2022-02-01,116.4806016530321,1224137
2022-02-02,107.36789439228978,2500844
2022-02-03,102.3614384926691,1929168
2022-02-04,111.97572976610844,4443609
2022-02-05,101.97015555683434,1363476
2022-02-06,109.32837449037318,2400283
2022-02-07,98.69366078772117,2733309
2022-02-08,102.057266826452,2559161
2022-02-09,109.88687880080968,1691757
2022-02-10,112.79743061114738,1390719
2022-02-11,110.16257394834017,2527937
2022-02-12,108.92619646717226,2149947
2022-02-13,108.19565658070327,3660149
2022-02-14,102.50329605128036,4130730
2022-02-15,106.48937218878456,4337920
2022-02-16,107.9760060122738,4296050
2022-02-17,115.75330078687384,3118324
2022-02-18,112.37211841742752,3632995
2022-02-19,102.02297604396023,3053490
2022-02-20,112.6405247185745,1996121
2022-02-21,109.27436604241349,4723292
2022-02-22,107.99255153053936,3678932
2022-02-23,114.61060625112795,1708362
